team,week,pdLeft,idealpdLeft
Tokenization,Feb W1,198,198
Tokenization,Feb W2,148,150
Tokenization,Feb W3,100,95
Tokenization,Feb W4,65,60
Tokenization,March W1,45,40
Tokenization,March W2,15,
Tokenization,March W3,0,
